Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1799.586725
FDW14,OUT017,1321.135662
NCN55,OUT010,700.6826054
FDQ58,OUT017,2002.933954
FDY38,OUT027,5248.275959
FDH56,OUT046,2120.999311
FDL48,OUT018,771.911417
FDC48,OUT027,2061.361993
FDN33,OUT045,1362.461506
FDA36,OUT017,2583.32687
FDT44,OUT017,1718.225437
FDQ56,OUT045,1540.642017
NCC54,OUT019,745.3292597
FDU11,OUT049,2066.029106
DRL59,OUT013,824.4246827
FDM24,OUT049,2569.877034
FDI57,OUT045,3572.359631
DRC12,OUT018,3235.942334
NCM42,OUT027,2593.560722
FDA46,OUT010,478.2231995
FDA31,OUT013,3095.656023
NCJ31,OUT035,3410.056388
FDG52,OUT046,810.3033762
NCL19,OUT019,338.6281735
FDS10,OUT035,3165.469215
FDX22,OUT010,508.0939543
NCF19,OUT035,806.6950291
NCE06,OUT046,2608.980741
DRC27,OUT046,3988.493631
FDE21,OUT035,2094.149841
NCR42,OUT019,160.0485385
FDX51,OUT018,2722.48523
NCR06,OUT018,673.87472
FDU31,OUT027,5106.701887
FDU59,OUT017,2319.545739
FDR03,OUT027,5164.240056
FDS49,OUT027,2264.285359
FDD48,OUT010,219.008285
NCF18,OUT017,3178.151056
NCD43,OUT027,2392.499261
NCD54,OUT018,2018.683607
FDY19,OUT010,244.2717555
NCY54,OUT017,2486.524711
NCL19,OUT018,338.6281735
FDP23,OUT010,575.0521116
FDC26,OUT013,2066.964679
FDR14,OUT010,195.1128394
NCS41,OUT035,3125.512743
FDF41,OUT035,4195.071688
FDU34,OUT046,2099.879804
DRH11,OUT046,954.9022718
FDM03,OUT013,2122.12523
FDS31,OUT017,3141.28643
FDJ20,OUT017,1946.866749
FDV44,OUT027,4625.170995
FDG02,OUT049,2863.483874
FDA09,OUT013,3737.926775
FDT04,OUT013,630.8714993
FDL58,OUT019,658.2056617
FDE52,OUT045,1286.58906
FDW12,OUT035,2609.585533
FDL51,OUT017,3654.956859
NCY42,OUT027,2810.213432
FDR07,OUT017,1653.369203
FDN40,OUT045,2519.249133
FDB35,OUT027,2360.732439
FDA22,OUT017,2809.026981
NCL06,OUT046,3940.440893
FDI35,OUT013,3233.334056
NCW42,OUT045,3513.079201
NCX06,OUT049,3267.830777
FDC37,OUT027,2449.633708
FDZ14,OUT018,1789.037476
DRG49,OUT049,4813.108071
NCG06,OUT045,3580.49631
DRC36,OUT045,2945.734988
FDV21,OUT019,397.1044712
FDB53,OUT046,2931.388942
DRP47,OUT019,628.768402
FDA14,OUT013,2218.141284
DRC24,OUT035,2740.682705
FDW21,OUT018,1494.427076
NCH29,OUT046,2026.418769
FDU58,OUT013,2968.643544
FDY27,OUT017,2160.069561
FDV56,OUT035,1789.167725
FDT59,OUT046,4494.186763
FDB23,OUT046,3591.60916
FDR49,OUT045,769.6905066
FDB03,OUT010,629.8702216
FDN39,OUT045,2740.020611
FDX02,OUT027,5114.710059
FDQ16,OUT027,2591.902668
FDU35,OUT018,1587.072386
NCT29,OUT013,1873.735956
FDZ27,OUT046,851.3890416
FDN57,OUT017,2199.951013
FDA03,OUT018,1994.698232
FDZ36,OUT045,3371.664078
NCU05,OUT013,1268.26659
FDT39,OUT018,2254.630589
FDK60,OUT017,1693.63587
FDZ25,OUT017,3115.10756
FDG12,OUT046,2431.301826
DRB01,OUT019,515.951591
NCC43,OUT027,5129.35381
FDX13,OUT019,667.6457939
FDM22,OUT049,922.1339447
FDJ03,OUT027,1752.516755
FDU14,OUT018,3776.359609
FDB33,OUT010,420.624655
FDP27,OUT046,3273.953354
FDO38,OUT010,197.6088669
FDE28,OUT027,5371.661366
FDO27,OUT035,1655.46357
DRL23,OUT027,2468.428324
FDS28,OUT046,951.6054335
FDX24,OUT013,1226.428269
FDZ02,OUT035,1362.709054
FDL46,OUT045,1593.125062
FDS60,OUT027,4292.045045
NCO06,OUT017,611.1401533
FDO16,OUT035,1711.196178
FDC60,OUT049,1670.552815
FDA48,OUT018,3465.983628
FDZ36,OUT027,3371.664078
FDK27,OUT045,1867.83586
FDW23,OUT018,772.6295348
FDM14,OUT018,1504.910256
FDM14,OUT013,1504.910256
FDW60,OUT018,2696.424093
FDE21,OUT013,2094.149841
NCM42,OUT035,2593.560722
FDY59,OUT010,181.1779604
DRI49,OUT049,1439.809621
FDT28,OUT019,364.2707721
FDQ22,OUT018,630.1181843
FDR60,OUT049,1128.463108
FDC50,OUT019,349.7755483
FDV24,OUT013,2490.826194
DRF48,OUT010,545.8237733
FDQ47,OUT046,920.7494938
DRN36,OUT049,1757.499189
NCY06,OUT035,2212.535373
FDE52,OUT035,1286.58906
NCB54,OUT045,1723.377369
NCF31,OUT035,2412.589516
FDJ08,OUT027,4892.546603
NCC07,OUT017,1655.817675
NCD19,OUT027,1857.037836
FDL46,OUT049,1593.125062
FDM20,OUT045,4464.730836
NCI06,OUT010,439.603048
DRM11,OUT035,4050.117515
NCH07,OUT018,2336.311658
FDS23,OUT013,1976.359949
FDO49,OUT018,740.3515457
FDS35,OUT049,1044.117934
DRK39,OUT045,1360.550842
DRI39,OUT049,898.2597638
FDV04,OUT017,1856.176145
NCN14,OUT035,2694.626768
FDH08,OUT013,3780.965076
FDS20,OUT046,3212.92504
FDV40,OUT049,1100.154659
FDZ48,OUT010,204.6199254
FDS24,OUT027,2369.638311
FDK44,OUT049,2365.906128
FDS48,OUT045,2273.511692
FDK26,OUT010,479.5524933
FDD23,OUT045,3433.654127
NCH54,OUT017,2907.368968
NCP14,OUT010,260.3526752
FDM60,OUT010,132.4026572
FDV24,OUT017,2490.826194
FDH08,OUT018,3780.965076
FDS12,OUT027,2938.060531
FDR39,OUT027,4732.666765
FDP12,OUT027,1536.563929
DRF60,OUT027,5086.858948
FDC09,OUT035,1802.328066
FDF50,OUT018,2896.960099
FDG28,OUT035,3703.078057
NCE19,OUT017,871.5542302
NCM53,OUT010,288.4986236
NCN18,OUT049,1557.674386
FDF32,OUT035,3408.983553
FDF11,OUT013,3322.751804
DRI59,OUT049,3891.193273
NCG54,OUT035,3083.96591
FDM44,OUT046,1544.198091
FDT57,OUT018,2364.329353
FDV24,OUT046,2490.826194
FDI50,OUT019,714.7475822
FDS09,OUT035,930.7346895
NCC31,OUT027,4053.950806
FDQ07,OUT019,528.7320793
FDC22,OUT017,3307.457991
FDZ56,OUT046,2539.240171
FDZ40,OUT019,184.3838504
FDS46,OUT027,2728.356207
DRD24,OUT045,1935.704146
FDV45,OUT017,3194.601948
FDL26,OUT045,3223.172351
FDA56,OUT018,1522.23931
FDN27,OUT046,1742.5849
FDM20,OUT049,4464.730836
FDO16,OUT017,1711.196178
FDL03,OUT035,3289.729726
FDE58,OUT046,2012.6961
FDI02,OUT027,2808.75292
NCC55,OUT019,154.8364182
FDR03,OUT018,5164.240056
FDB14,OUT017,1539.68537
FDR45,OUT013,4093.251436
NCN07,OUT017,2168.59476
FDM51,OUT019,323.1440907
FDT52,OUT027,5615.382363
FDL26,OUT046,3223.172351
NCZ42,OUT046,3289.225785
DRI47,OUT019,453.255507
FDW40,OUT013,2353.505866
FDN34,OUT046,3252.049306
FDS01,OUT035,3240.691053
NCG55,OUT045,1809.048345
FDC11,OUT035,1485.965671
FDX35,OUT018,3034.197448
NCB06,OUT046,2361.77996
FDR09,OUT019,592.0077756
FDC53,OUT017,1737.33427
FDY45,OUT013,3779.501211
FDA22,OUT010,2809.026981
FDE02,OUT035,1758.470612
FDW21,OUT045,1494.427076
FDV34,OUT046,1329.947838
FDS59,OUT049,2193.583801
NCW17,OUT017,2495.377021
NCK54,OUT046,1987.490555
FDG17,OUT019,629.1971064
FDG35,OUT017,3407.882102
FDD08,OUT010,147.1595363
NCO07,OUT017,3715.316054
FDJ10,OUT010,274.976028
FDW36,OUT017,1704.406534
FDW21,OUT010,1494.427076
FDY19,OUT017,244.2717555
DRE03,OUT013,692.170577
NCC55,OUT049,154.8364182
FDH52,OUT010,169.7202821
FDO09,OUT017,4552.01745
FDU43,OUT045,4222.044553
FDX09,OUT010,439.8703706
FDH40,OUT019,269.9017622
FDW58,OUT017,1799.586725
FDC47,OUT017,4645.688989
NCR41,OUT035,1715.388627
DRG49,OUT035,4813.108071
FDC52,OUT027,3928.182217
FDY13,OUT046,1309.677511
FDY35,OUT013,887.3323314
FDI35,OUT017,3233.334056
NCU18,OUT049,2458.491095
FDY33,OUT018,2817.867874
FDC15,OUT027,3817.495869
FDU01,OUT049,3362.871639
NCU42,OUT046,3016.175386
NCV29,OUT018,2451.694043
NCY30,OUT017,3044.85332
FDQ46,OUT049,1841.053801
FDG58,OUT027,3864.208608
FDK33,OUT017,4027.016121
NCD07,OUT045,1341.839304
NCX29,OUT027,3591.724328
NCT42,OUT013,2368.689563
DRN59,OUT035,837.3188088
FDI44,OUT035,1406.453768
FDA45,OUT049,2277.199614
FDP31,OUT045,955.4058213
FDY01,OUT046,1883.502353
FDT09,OUT018,1981.411547
DRH03,OUT027,2321.931388
FDA36,OUT018,2583.32687
NCF31,OUT017,2412.589516
FDG14,OUT049,2791.803823
FDG28,OUT027,3703.078057
FDU14,OUT049,3776.359609
FDY47,OUT019,353.3065957
FDI56,OUT049,1466.06673
DRD01,OUT013,884.5096048
FDM22,OUT046,922.1339447
FDH33,OUT013,711.5602765
DRZ24,OUT013,2010.162823
NCQ38,OUT046,1649.364552
FDO16,OUT027,1711.196178
FDU07,OUT027,3794.071299
NCB07,OUT013,2626.886107
FDU48,OUT045,1613.028537
NCM43,OUT045,2582.824686
FDR31,OUT010,328.4561953
DRK49,OUT018,518.0067313
NCI30,OUT010,751.2724745
DRD60,OUT017,3172.555182
NCG19,OUT046,2969.966802
FDH12,OUT035,1672.739517
FDM32,OUT035,1619.616394
FDM27,OUT035,2672.519066
NCU53,OUT027,4006.71975
NCQ18,OUT046,1778.107753
FDS10,OUT013,3165.469215
FDB33,OUT027,420.624655
FDI12,OUT013,1355.795986
NCW42,OUT013,3513.079201
NCC06,OUT018,1939.013542
FDW02,OUT017,2331.627719
NCD43,OUT017,2392.499261
FDM57,OUT018,1092.496589
FDA58,OUT017,3559.569103
FDK56,OUT046,3187.271752
FDP52,OUT045,3923.541632
FDW20,OUT018,1722.566941
FDS52,OUT049,1519.860357
NCT29,OUT018,1873.735956
NCL54,OUT013,3062.784604
FDC05,OUT045,2572.452616
FDF34,OUT035,2893.389024
FDP03,OUT027,2787.193116
FDD32,OUT010,179.3383161
FDZ10,OUT045,2138.192019
FDZ40,OUT035,184.3838504
FDD51,OUT018,696.3853807
NCY30,OUT019,3044.85332
FDP58,OUT017,3541.506727
FDV49,OUT017,4440.571059
FDY24,OUT019,203.6478797
NCO55,OUT017,1666.310447
FDR13,OUT017,1936.031442
FDS51,OUT017,1001.467783
FDP26,OUT045,1315.186563
NCB54,OUT027,1723.377369
FDF32,OUT017,3408.983553
FDN31,OUT018,2799.071154
DRM48,OUT017,808.2092112
FDN20,OUT049,2898.405121
DRL01,OUT046,3510.467302
FDV56,OUT049,1789.167725
DRH13,OUT027,2514.229515
FDA03,OUT017,1994.698232
FDF47,OUT027,4718.911201
FDX32,OUT046,2635.547059
FDX57,OUT049,1865.165884
NCA30,OUT045,3044.10894
FDO49,OUT013,740.3515457
FDL04,OUT019,279.0353888
DRM48,OUT035,808.2092112
FDR16,OUT013,3184.852627
NCC19,OUT018,2893.121813
NCE42,OUT045,2703.069128
FDY24,OUT017,203.6478797
FDH19,OUT049,2387.845653
FDJ46,OUT013,2609.028605
FDN45,OUT010,587.2876142
FDY08,OUT035,2263.512575
FDZ37,OUT035,1572.770678
NCT30,OUT045,758.1312543
DRY23,OUT018,575.3491745
NCZ30,OUT018,1832.451815
FDC44,OUT018,1528.493047
FDB45,OUT035,1757.448502
FDY04,OUT013,2460.656774
FDM27,OUT046,2672.519066
FDZ43,OUT017,4457.170668
FDT39,OUT019,2254.630589
NCC06,OUT019,1939.013542
FDL15,OUT027,3804.246562
FDL57,OUT017,4666.79185
FDU08,OUT046,1469.034099
FDK40,OUT017,3883.591615
FDQ12,OUT010,534.3932484
FDS48,OUT017,2273.511692
FDP09,OUT045,3612.996604
FDW21,OUT049,1494.427076
FDY25,OUT035,3619.651533
DRE13,OUT017,1353.690541
FDV43,OUT019,179.4981843
FDD22,OUT045,1850.478203
FDM46,OUT019,329.640154
NCO30,OUT010,486.9478021
FDM25,OUT046,2691.860543
NCN41,OUT049,2090.622356
FDU24,OUT045,1913.024813
FDZ50,OUT046,3204.523841
FDP45,OUT013,3802.311302
NCM54,OUT045,1751.793141
FDW10,OUT019,452.7328509
FDP20,OUT017,1952.914892
FDK32,OUT046,2528.036179
FDN52,OUT049,1249.6123
FDM58,OUT045,2233.675142
FDZ46,OUT027,2839.643725
NCA18,OUT018,1707.948352
FDD35,OUT046,2095.069079
NCK31,OUT035,935.9067617
FDI40,OUT027,2579.802292
FDT50,OUT019,262.6079403
NCT06,OUT046,2569.757832
FDT31,OUT035,2938.845809
FDT45,OUT049,929.2947921
FDT13,OUT045,3307.737033
FDO50,OUT045,1463.787772
NCU18,OUT010,2458.491095
NCR54,OUT049,3267.072065
NCO18,OUT018,2546.12999
FDU09,OUT045,858.999218
FDT13,OUT018,3307.737033
FDE09,OUT046,1785.375734
NCK53,OUT019,306.8701382
FDG45,OUT049,3735.02803
DRH15,OUT035,764.3101022
FDO21,OUT019,611.6865214
FDD14,OUT027,4747.276363
FDC09,OUT046,1802.328066
FDH45,OUT027,1595.918305
FDV32,OUT046,1241.958503
FDG12,OUT035,2431.301826
FDS32,OUT013,2117.176414
NCL55,OUT018,3474.89548
DRE01,OUT035,4504.382164
DRE15,OUT049,1257.800212
NCL42,OUT045,3892.939226
FDP31,OUT013,955.4058213
FDN33,OUT018,1362.461506
FDZ59,OUT046,3160.967009
FDE45,OUT010,406.7959055
FDJ07,OUT013,1744.797145
FDQ45,OUT018,2723.722466
FDM33,OUT027,4983.428106
FDO15,OUT010,195.4575779
FDM46,OUT013,329.640154
FDR03,OUT045,5164.240056
FDY49,OUT018,2121.636146
FDQ60,OUT045,1964.342254
FDW10,OUT049,452.7328509
FDO51,OUT049,854.002932
FDJ40,OUT018,1423.353262
FDS20,OUT018,3212.92504
FDU45,OUT013,2251.090782
FDV02,OUT035,2711.049805
FDN09,OUT046,3305.999077
NCM55,OUT027,4191.869678
FDN23,OUT018,2535.465706
FDY31,OUT010,383.3126565
FDW03,OUT010,293.8990395
FDD14,OUT046,4747.276363
FDV23,OUT017,1935.152234
DRI03,OUT045,2244.403611
FDN13,OUT035,1409.791452
FDF45,OUT027,1996.186278
FDU46,OUT035,1588.180907
FDB57,OUT049,3326.272726
FDV12,OUT049,1930.76183
FDQ58,OUT013,2002.933954
NCA18,OUT017,1707.948352
FDH52,OUT049,169.7202821
FDM24,OUT018,2569.877034
NCP43,OUT027,4117.577868
NCO18,OUT019,2546.12999
FDM32,OUT017,1619.616394
NCL07,OUT017,662.3402193
FDK03,OUT013,4492.348381
FDP59,OUT017,1542.367344
FDQ24,OUT049,3813.267098
FDQ16,OUT018,2591.902668
FDU44,OUT013,2387.98238
FDH28,OUT010,152.6759968
FDV28,OUT019,158.7126455
FDM22,OUT045,922.1339447
FDR56,OUT046,2540.075619
FDV39,OUT049,2670.00109
FDU37,OUT019,306.7556252
FDQ11,OUT010,727.035016
FDX02,OUT045,5114.710059
NCS42,OUT018,1470.063606
FDY57,OUT027,2538.313989
FDB21,OUT049,4039.508249
FDE28,OUT017,5371.661366
FDQ55,OUT017,2053.588884
FDA48,OUT049,3465.983628
FDZ19,OUT045,2156.496715
NCC43,OUT045,5129.35381
NCV18,OUT046,1625.756069
NCA42,OUT018,2702.84519
FDY45,OUT046,3779.501211
NCC30,OUT045,3112.035986
FDM57,OUT013,1092.496589
FDL09,OUT010,433.9690255
FDB09,OUT027,3098.291578
FDT44,OUT035,1718.225437
NCT06,OUT027,2569.757832
FDX26,OUT049,3282.745538
FDK32,OUT013,2528.036179
DRA12,OUT046,2030.131395
FDO46,OUT010,563.9334085
FDE52,OUT013,1286.58906
NCH42,OUT045,4114.184793
FDV08,OUT035,771.9234567
FDB47,OUT018,2506.729708
FDC28,OUT010,238.3383928
FDD22,OUT046,1850.478203
FDS07,OUT027,3010.804953
DRI13,OUT045,3665.789054
FDG32,OUT018,3428.845231
FDU14,OUT017,3776.359609
FDD28,OUT019,192.7180742
NCP41,OUT017,1686.669676
FDS08,OUT049,2483.968307
FDX47,OUT045,2125.781994
FDC53,OUT019,1737.33427
FDQ19,OUT035,3969.210039
FDL14,OUT045,2599.506995
FDM33,OUT019,4983.428106
FDA51,OUT045,1869.764286
FDZ27,OUT018,851.3890416
FDT04,OUT046,630.8714993
DRC13,OUT049,1957.679803
FDR16,OUT027,3184.852627
FDQ03,OUT027,5411.810732
FDE38,OUT035,2772.571876
DRH23,OUT027,1986.242862
FDT11,OUT019,626.3582459
FDD09,OUT035,2889.321214
FDR40,OUT045,1383.561843
FDX07,OUT017,2990.408202
FDR07,OUT035,1653.369203
FDA51,OUT017,1869.764286
FDT59,OUT019,4494.186763
FDF20,OUT017,3006.09171
FDR13,OUT045,1936.031442
FDY26,OUT049,4080.11072
FDW04,OUT017,1845.746371
FDK52,OUT017,4730.38288
